ID	Plumage	PlumageColor	Species_Latin	Shape	name	value	centered_value	scaled_value	axis	Analysis
283_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC6	0.00110485	0.56997685	0.51081067153719	6	Autosomes
311_CO_ACW_RUS_F	grey	#000000	C. optatus	24	PC1	-0.211981	0.00833100000000001	0.0268898503806249	1	Autosomes
311_CO_ACW_RUS_F	grey	#000000	C. optatus	24	PC2	-0.00427029	0.35644771	0.751349486730887	2	Autosomes
311_CO_ACW_RUS_F	grey	#000000	C. optatus	24	PC3	-0.200423	0.059849	0.0884578661566521	3	Autosomes
311_CO_ACW_RUS_F	grey	#000000	C. optatus	24	PC4	0.0275935	0.5704195	0.484588258481279	4	Autosomes
311_CO_ACW_RUS_F	grey	#000000	C. optatus	24	PC5	0.0189469	0.6718299	0.756468940326287	5	Autosomes
311_CO_ACW_RUS_F	grey	#000000	C. optatus	24	PC6	-0.00661843	0.56225357	0.503889102980029	6	Autosomes
285_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC1	0.0877995	0.3081115	0.994487112657531	1	Autosomes
285_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC2	-0.291141	0.069577	0.146660061971712	2	Autosomes
285_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC3	0.00219151	0.26246351	0.387925646854335	3	Autosomes
285_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC4	0.000127736	0.542953736	0.461255278552266	4	Autosomes
285_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC5	-0.000145535	0.652737465	0.734971186099066	5	Autosomes
285_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC6	0.00049335	0.56936535	0.510262648006682	6	Autosomes
381_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC1	-0.219084	0.00122800000000001	0.00396359815957358	1	Autosomes
381_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC2	-0.00614786	0.35457014	0.747391791909951	2	Autosomes
381_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC3	0.27403	0.534302	0.789707677709428	3	Autosomes
381_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC4	-0.542826	0	0	4	Autosomes
381_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC5	0.227324	0.880207	0.991097979648986	5	Autosomes
381_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC6	-0.568872	0	0	6	Autosomes
304_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC1	0.0774567	0.2977687	0.961103803989097	1	Autosomes
304_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC2	0.0717061	0.4324241	0.911498703652958	2	Autosomes
304_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC3	-0.00143044	0.25884156	0.38257234156392	3	Autosomes
304_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC4	0.00227731	0.54510331	0.463081405325871	4	Autosomes
304_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC5	0.0011098	0.6539928	0.736384671770372	5	Autosomes
304_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC6	0.00313984	0.57201184	0.512634420358693	6	Autosomes
362_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC1	-0.220312	0	0	1	Autosomes
362_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC2	-0.00338151	0.35733649	0.753222929533526	2	Autosomes
362_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC3	0.292629	0.552901	0.817197324197215	3	Autosomes
362_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC4	-0.40212	0.140706	0.119533914071779	4	Autosomes
362_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC5	0.23523	0.888113	1	5	Autosomes
362_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC6	0.235337	0.804209	0.720728463526637	6	Autosomes
328_CC_SCC_RUS_F	grey	#000000	C. canorus	21	PC1	0.0824697	0.3027817	0.977284192892959	1	Autosomes
328_CC_SCC_RUS_F	grey	#000000	C. canorus	21	PC2	-0.0563338	0.3043842	0.641605784026475	2	Autosomes
328_CC_SCC_RUS_F	grey	#000000	C. canorus	21	PC3	-9.67547e-05	0.2601752453	0.384543551705484	3	Autosomes
328_CC_SCC_RUS_F	grey	#000000	C. canorus	21	PC4	-0.00183131	0.54099469	0.459591010957233	4	Autosomes
328_CC_SCC_RUS_F	grey	#000000	C. canorus	21	PC5	0.000905533	0.653788533	0.736154670633129	5	Autosomes
328_CC_SCC_RUS_F	grey	#000000	C. canorus	21	PC6	-0.000965256	0.567906744	0.508955451915528	6	Autosomes
317_CO_SCC_RUS_F	grey	#000000	C. optatus	24	PC1	-0.217958	0.00235399999999999	0.00759797236778187	1	Autosomes
317_CO_SCC_RUS_F	grey	#000000	C. optatus	24	PC2	-0.00443074	0.35628726	0.751011277165321	2	Autosomes
317_CO_SCC_RUS_F	grey	#000000	C. optatus	24	PC3	-0.229901	0.030371	0.0448888678681963	3	Autosomes
317_CO_SCC_RUS_F	grey	#000000	C. optatus	24	PC4	0.0346765	0.5775025	0.490605476747525	4	Autosomes
317_CO_SCC_RUS_F	grey	#000000	C. optatus	24	PC5	0.0707218	0.7236048	0.814766589386711	5	Autosomes
317_CO_SCC_RUS_F	grey	#000000	C. optatus	24	PC6	0.131014	0.699886	0.627234663406905	6	Autosomes
295_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC1	0.0890033	0.3093153	0.9983726008208	1	Autosomes
295_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC2	-0.360718	0	0	2	Autosomes
295_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC3	0.00174826	0.26202026	0.387270515621166	3	Autosomes
295_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC4	0.00283765	0.54566365	0.463557430750593	4	Autosomes
295_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC5	0.00425954	0.65714254	0.739931224967994	5	Autosomes
295_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC6	0.00476754	0.57363954	0.514093157726818	6	Autosomes
376_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC1	-0.219443	0.000869000000000009	0.00280485895819988	1	Autosomes
376_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC2	-0.0013379	0.3593801	0.757530616976877	2	Autosomes
376_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC3	0.41631	0.676582	1	3	Autosomes
376_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC4	0.634296	1.177122	1	4	Autosomes
376_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC5	0.0339655	0.6868485	0.773379626241255	5	Autosomes
376_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC6	-0.1889	0.379972	0.340529185501708	6	Autosomes
286_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC1	0.0886341	0.3089461	0.99718093922429	1	Autosomes
286_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC2	-0.316964	0.043754	0.0922282413945742	2	Autosomes
286_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC3	0.00220275	0.26247475	0.387942259770434	3	Autosomes
286_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC4	3.50209e-05	0.5428610209	0.461176514329016	4	Autosomes
286_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC5	0.0017553	0.6546383	0.737111493695059	5	Autosomes
286_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC6	0.00175342	0.57062542	0.511391917033808	6	Autosomes
291_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC1	0.0895075	0.3098195	1	1	Autosomes
291_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC2	-0.357928	0.00278999999999996	0.00588098901793798	2	Autosomes
