ID	IDtree	Analysis_Dataset	Group	IDNumber	Species	Species_Latin	Shape	Country	Sex	MeanCoverage	MedianCoverage	Plumage	CanorusDiverged	JPlumageColor	PlumageColor	Longitude	Latitude	Source	Isolate	Sampling_Date	SRA_Biosample	SRA_Runs	Aligned_Reads_Million	Sequencing_Output_Gb	Aligned_Gb	Aligned_Gb_Percent
122_CC_UNK_ENG_M	122_CC_UNK_ENG_M	D	MALE	122	CC	C. canorus	NA	NA	M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	121.375306	NA	17.69553276	NA
093_CC_RED_FIN_M	093_CC_RED_FIN_M	D	MALE	93	CC	C. canorus	NA	NA	M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	146.601996	NA	21.72089207	NA
139_CC_UNK_BLR_M	139_CC_UNK_BLR_M	D	MALE	139	CC	C. canorus	NA	NA	M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84.565204	NA	11.78754706	NA
018_CC_GRW_HUN_M	018_CC_GRW_HUN_M	D	MALE	18	CC	C. canorus	NA	NA	M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	137.193508	NA	13.74047396	NA
111_CC_UNK_UNK_M	111_CC_UNK_UNK_M	D	MALE	111	CC	C. canorus	NA	NA	M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	168.044176	NA	24.93978612	NA
041_CM_UNK_BGD_F	NA	D	OUT	OUT	CM	C. micropterus	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
049_CM_DGO_BGD_F	NA	D	OUT	OUT	CM	C. micropterus	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
050_CM_DGO_BGD_F	NA	D	OUT	OUT	CM	C. micropterus	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
305_CM_BSK_RUS_M	NA	D	OUT	OUT	CM	C. micropterus	NA	NA	M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
306_CM_BSK_RUS_M	NA	D	OUT	OUT	CM	C. micropterus	NA	NA	M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
386_CP_MBW_RUS_M	NA	D	OUT	OUT	CP	C. poliocephalus	NA	NA	M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
